time,"Altitude (GPS) (m)","Average speed (km/h)","Average speed (GPS) (km/h)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Distance travelled (km)","Distance travelled (total) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Intake air temperature (℃)","OBD Module Voltage (V)","Speed (GPS) (km/h)","Throttle position (%)","Vehicle acceleration (m/s²)","Vehicle speed (km/h)",Latitude,Longtitude,
14:20:07.251,2482,,0.00275749777871476,,,,,,,,,,0,,,,-0.29777058865875,-78.4607183095068,
14:20:07.279,2485.09985351563,,0.00275725224592322,,,,,,,,,,3.36744449158817E-16,,,,-0.29777058865875,-78.4607183095068,
14:20:08.264,,,0.0415173782184429,,,,,,,,,,0.0719999983906746,,,,-0.29777058865875,-78.4607183095068,
14:20:09.354,,,0.0814200158022484,,,,,,,,,,0.143999996781349,,,,-0.297772809863091,-78.4607178904116,
14:20:10.636,,,0.0558496589228872,,,,,,,,,,0,,,,-0.297772684134543,-78.4607177227736,
14:20:10.704,2485.09985351563,,0.00272714653197897,,,,,,,,,,0,,,,-0.297772684134543,-78.4607177227736,
14:20:10.705,2485.09985351563,,0.00272713724788803,,,,,,,,,,0,,,,-0.297772684134543,-78.4607177227736,
14:20:10.708,2485.09985351563,,0.00272873292418992,,,,,,,,,,0.183252865076065,,,,-0.297772684134543,-78.4607177227736,
14:20:10.770,,,,24.7058823529412,,,,,,,,,,,,,-0.297772684134543,-78.4607177227736,
14:20:10.864,,,,,,,,99,,,,,,,,,-0.297772684134543,-78.4607177227736,
14:20:10.980,,,,,,,,,886,0.9,,,,,,,-0.297772684134543,-78.4607177227736,
14:20:11.076,,,,,,,,,,,,,,,,0,-0.297772684134543,-78.4607177227736,
14:20:11.161,,,,,,,,,,,,,,21.9607843137255,,,-0.297772684134543,-78.4607177227736,
14:20:11.220,,,,,,,,,,,,12.5,,,,,-0.297772684134543,-78.4607177227736,
14:20:11.266,,,,24.7058823529412,,,,,,,,,,,,,-0.297772684134543,-78.4607177227736,
14:20:11.354,,,,,,,,,878,0.9,,,,,,,-0.297772642225027,-78.4607176389545,
14:20:11.431,,,,,,,,,,,52,,,,,,-0.297772642225027,-78.4607176389545,
14:20:11.514,,,,,,0,122.683016743695,,,,,,,,,0,-0.297772642225027,-78.4607176389545,
14:20:11.597,,,,,,,,,,,,,,21.9607843137255,,,-0.297772642225027,-78.4607176389545,
14:20:11.656,,,,,,,,,,,,12.8,,,,,-0.297772642225027,-78.4607176389545,
14:20:11.680,,,,24.7058823529412,,,,,,,,,,,,,-0.297772642225027,-78.4607176389545,
14:20:11.750,,,,,,,,99,,,,,,,,,-0.297772642225027,-78.4607176389545,
14:20:11.796,,,,,,,,,884,0.9,,,,,,,-0.297772642225027,-78.4607176389545,
14:20:11.843,,0,,,,0,122.683016743695,,,,,,,,,0,-0.297772642225027,-78.4607176389545,
14:20:11.890,,,,,,,,,,,,,,21.9607843137255,,,-0.297772642225027,-78.4607176389545,
14:20:11.952,,,,,,,,,,,,12.5,,,,,-0.297772642225027,-78.4607176389545,
14:20:11.972,,,,24.7058823529412,,,,,,,,,,,,,-0.297772642225027,-78.4607176389545,
14:20:12.018,,,,,,,,,899,0.9,,,,,,,-0.297772642225027,-78.4607176389545,
14:20:12.085,,0,,,,0,122.683016743695,,,,,,,,,0,-0.297772642225027,-78.4607176389545,
14:20:12.142,,,,,,,,,,,,,,21.9607843137255,,,-0.297772642225027,-78.4607176389545,
14:20:12.243,,,,,,,,,,,,12.6,,,,,-0.297772642225027,-78.4607176389545,
14:20:12.260,,,,24.7058823529412,,,,,,,,,,,,,-0.297772642225027,-78.4607176389545,
14:20:12.316,,,,,,,,99,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.374,,,,,,,,,895,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.419,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:12.466,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:12.516,,,,,,,,,,,,12.9,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.589,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.646,,,,,,,,,899,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.693,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:12.762,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:12.819,,,,,,,,,,,,12.5,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.855,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.893,,,,,,,,99,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.940,,,,,,,,,894,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:12.997,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:13.056,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:13.118,,,,,,,,,,,,12.8,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.140,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.195,,,,,,,,,892,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.240,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:13.298,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:13.346,,,,,,,,,,,,12.3,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.389,,,,24.3137254901961,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.434,,,,,,,,99,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.480,,,,,,,,,872,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.527,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:13.595,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:13.654,,,,,,,,,,,,12.9,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.710,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.757,,,,,,,,,870,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.794,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:13.854,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:13.908,,,,,,,,,,,,12.4,,,,,-0.297772600315511,-78.4607176389545,
14:20:13.947,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.230,,,,,,,,99,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.279,,,,,,,,,887,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.326,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:14.367,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:14.424,,,,,,,,,,,,12.9,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.449,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.508,,,,,,,,,896,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.554,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:14.593,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:14.657,,,,,,,,,,,,12.4,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.675,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.746,,,,,,,,99,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.803,,,,,,,,,894,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:14.881,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:14.940,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:15.011,,,,,,,,,,,,12.9,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.080,,,,24.3137254901961,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.171,,,,,,,,,897,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.264,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:15.323,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:15.385,,,,,,,,,,,,12.4,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.409,,,,24.3137254901961,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.456,,,,,,,,100,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.504,,,,,,,,,867,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.550,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:15.596,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:15.662,,,,,,,,,,,,12.8,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.679,,,,24.3137254901961,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.737,,,,,,,,,877,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.783,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:15.832,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:15.901,,,,,,,,,,,,12.5,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.923,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:15.969,,,,,,,,100,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.015,,,,,,,,,881,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.082,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:16.172,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:16.242,,,,,,,,,,,,12.9,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.298,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.334,,,,,,,,,878,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.380,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:16.427,,,,,,,,,,,,,,22.3529411764706,,,-0.297772600315511,-78.4607176389545,
14:20:16.491,,,,,,,,,,,,12.9,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.510,,,,25.0980392156863,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.557,,,,,,,,100,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.615,,,,,,,,,899,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.662,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:16.708,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:16.764,,,,,,,,,,,,12.5,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.789,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.845,,,,,,,,,890,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:16.882,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:16.930,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:16.990,,,,,,,,,,,,12.9,,,,,-0.297772600315511,-78.4607176389545,
14:20:17.004,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:17.050,,,,,,,,100,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:17.101,,,,,,,,,888,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:17.149,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:17.209,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:17.282,,,,,,,,,,,,12.5,,,,,-0.297772600315511,-78.4607176389545,
14:20:17.312,,,,24.7058823529412,,,,,,,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:17.357,,,,,,,,,889,0.9,,,,,,,-0.297772600315511,-78.4607176389545,
14:20:17.405,,0,,,,0,122.683016743695,,,,,,,,0,0,-0.297772600315511,-78.4607176389545,
14:20:17.453,,,,,,,,,,,,,,21.9607843137255,,,-0.297772600315511,-78.4607176389545,
14:20:17.517,,,,,,,,,,,,12.6,,,,,-0.297772600315511,-78.4607176389545,
