,time,speed,rpm,acceleration,throttle_position,engine_temperature,barometric_pressure,distance_travelled,engine_load_value,heart_rate,body_temperature,current_weather,temperature,visibility,precipitation,accidents_onsite,design_speed,risk_level
0,13:47:21,0.0,598.0,0.0,12.9,94.0,75.0,0.0,23.9,77.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
2,13:47:23,0.0,598.0,0.0,12.9,94.0,75.0,0.0,23.9,77.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
3,13:47:25,0.0,598.0,0.0,12.9,94.0,75.0,0.0,23.9,80.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
4,13:47:26,0.0,591.0,0.0,12.9,94.0,75.0,0.0,23.5,80.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
5,13:47:27,0.0,603.0,0.0,12.9,95.0,75.0,0.0,23.5,80.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
6,13:47:28,0.0,603.0,0.0,12.9,95.0,75.0,0.0,23.5,80.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
7,13:47:29,0.0,612.0,0.0,12.9,95.0,75.0,0.0,23.5,80.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
8,13:47:30,0.0,612.0,0.0,12.9,95.0,75.0,0.0,25.9,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
9,13:47:31,0.0,598.0,0.0,12.9,95.0,75.0,0.0,25.1,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
10,13:47:32,0.0,589.0,0.0,12.9,95.0,75.0,0.0,27.8,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
11,13:47:33,0.0,599.0,0.0,12.9,95.0,75.0,0.0,27.1,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
12,13:47:34,0.0,570.0,0.0,14.9,95.0,75.0,0.0,29.4,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
13,13:47:35,2.0,690.0,0.23,13.7,95.0,75.0,0.0007,50.6,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
14,13:47:36,3.0,722.0,0.33,14.1,95.0,75.0,0.0012,36.5,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
15,13:47:37,3.0,882.0,0.28,14.1,95.0,75.0,0.0021,32.2,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
16,13:47:38,2.0,896.0,-0.21,14.1,95.0,75.0,0.0025,31.8,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,1
17,13:47:39,4.0,852.0,-0.21,14.9,95.0,75.0,0.0041,33.3,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,1
18,13:47:40,1.0,980.0,-0.21,14.1,95.0,75.0,0.0042,33.7,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,1
19,13:47:41,0.0,785.0,-0.5,13.7,95.0,75.0,0.0042,29.4,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,1
20,13:47:42,0.0,661.0,-0.13,18.0,95.0,75.0,0.0042,39.2,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,1
21,13:47:43,5.0,1436.0,0.34,16.1,95.0,75.0,0.0056,32.5,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,1
22,13:47:44,9.0,1372.0,0.82,22.0,95.0,75.0,0.008,66.7,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,1
