,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,system_voltage,distance_travelled,engine_load_value,latitude,longitude,altitude,id_vehicle,heart_rate,body_temperature,id_driver,current_weather,has_precipitation,is_day_time,temperature,wind_speed,wind_direction,relative_humidity,visibility,uv_index,cloud_cover,ceiling,pressure,precipitation,accidents_onsite,design_speed,accidents_time
0,15,0.0,593.0,0.0,12.5,93.0,13.4,0.0,23.5,-0.298025,-78.460447,2494.0,2,74.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
1,15,0.0,593.0,0.0,12.5,93.0,13.4,0.0,23.5,-0.298025,-78.460447,2493.0,2,74.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
2,15,0.0,612.0,0.0,12.5,93.0,13.4,0.0,23.5,-0.298025,-78.460447,2493.0,2,77.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
3,15,0.0,608.0,0.0,12.5,93.0,13.5,0.0,23.5,-0.298025,-78.460447,2493.0,2,77.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
4,15,0.0,602.0,0.0,12.5,93.0,12.9,0.0,23.5,-0.298025,-78.460447,2493.0,2,77.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
5,15,0.0,590.0,0.0,12.5,93.0,13.2,0.0,23.5,-0.298025,-78.460447,2493.0,2,77.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
6,15,0.0,604.0,0.0,12.5,93.0,13.3,0.0,23.5,-0.298025,-78.460447,2493.0,2,77.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
7,15,0.0,590.0,0.0,12.5,93.0,13.4,0.0,23.5,-0.298025,-78.460447,2493.0,2,74.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
8,15,0.0,602.0,0.0,12.5,93.0,13.5,0.0,23.1,-0.298025,-78.460447,2493.0,2,74.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
9,15,0.0,610.0,0.0,12.5,93.0,13.1,0.0,23.5,-0.298025,-78.460447,2492.0,2,74.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
10,15,0.0,613.0,0.0,12.5,93.0,13.5,0.0,23.5,-0.298025,-78.460447,2492.0,2,74.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
11,15,0.0,603.0,0.0,12.5,93.0,13.3,0.0,23.5,-0.298022,-78.460448,2493.0,2,74.0,30.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
12,15,0.0,588.0,0.0,12.5,93.0,13.4,0.0,23.1,-0.298014,-78.460444,2486.0,2,73.0,31.0,2,7,0,1,16.6,7.0,338.0,79.0,6.4,1.0,100.0,3139.0,1018.3,0.0,9.0,70.0,0.0
