,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
0,18,0,656,0.0,12.9,95,23.9,76,7,4.0,8.8,9.0,70.0,0.0
1,18,0,656,0.0,12.9,95,23.9,76,7,4.0,8.8,9.0,70.0,0.0
2,18,0,656,0.0,12.9,95,23.9,76,7,4.0,8.8,9.0,70.0,0.0
3,18,0,656,0.0,12.9,95,23.9,76,7,4.0,8.8,9.0,70.0,0.0
4,18,0,656,0.0,12.9,95,23.9,80,7,4.0,8.8,9.0,70.0,0.0
6,18,0,656,0.0,12.9,95,23.9,80,7,4.0,8.8,9.0,70.0,0.0
7,18,0,673,0.0,12.9,95,24.3,80,7,4.0,8.8,9.0,70.0,0.0
8,18,0,684,0.0,12.9,95,24.3,80,7,4.0,8.8,9.0,70.0,0.0
9,18,0,652,0.0,12.9,95,23.9,80,7,4.0,8.8,9.0,70.0,0.0
10,18,0,672,0.0,12.9,95,24.3,80,7,4.0,8.8,9.0,70.0,0.0
11,18,0,662,0.0,12.9,95,24.3,76,7,4.0,8.8,9.0,70.0,0.0
12,18,0,663,0.0,12.9,95,23.9,76,7,4.0,8.8,9.0,70.0,0.0
13,18,0,661,0.0,12.9,95,23.9,76,7,4.0,8.8,9.0,70.0,0.0
14,18,0,662,0.0,12.9,95,24.7,76,7,4.0,8.8,9.0,70.0,0.0
15,18,0,678,0.0,12.9,95,24.3,76,7,4.0,8.8,9.0,70.0,0.0
16,18,0,675,0.0,12.9,95,24.7,76,7,4.0,8.8,9.0,70.0,0.0
17,18,0,649,0.0,12.9,95,24.3,76,7,4.0,8.8,9.0,70.0,0.0
18,18,0,666,0.0,12.9,95,24.3,80,7,4.0,8.8,9.0,70.0,0.0
19,18,0,672,0.0,12.9,95,23.5,85,7,4.0,8.8,9.0,70.0,0.0
20,18,0,665,0.0,12.9,95,24.3,85,7,4.0,8.8,9.0,70.0,0.0
21,18,0,675,0.0,12.9,95,23.9,85,7,4.0,8.8,9.0,70.0,0.0
22,18,0,668,0.0,12.9,95,23.5,85,7,4.0,8.8,9.0,70.0,0.0
23,18,0,672,0.0,12.9,95,24.7,85,7,4.0,8.8,9.0,70.0,0.0
24,18,0,675,0.0,12.5,95,23.9,85,7,4.0,8.8,9.0,70.0,0.0
25,18,0,666,0.0,12.9,95,23.5,85,7,4.0,8.8,9.0,70.0,0.0
26,18,0,677,0.0,12.9,95,24.7,85,7,4.0,8.8,9.0,70.0,0.0
27,18,0,655,0.0,12.5,95,23.9,89,7,4.0,8.8,9.0,70.0,0.0
28,18,0,654,0.0,12.9,95,23.9,89,7,4.0,8.8,9.0,70.0,0.0
29,18,0,663,0.0,12.9,95,25.1,85,7,4.0,8.8,9.0,70.0,0.0
30,18,0,673,0.0,12.9,95,24.7,85,7,4.0,8.8,9.0,70.0,0.0
31,18,0,658,0.0,12.9,95,24.3,85,7,4.0,8.8,9.0,70.0,0.0
32,18,0,656,0.0,12.9,95,25.1,85,7,4.0,8.8,9.0,70.0,0.0
33,18,0,674,0.0,12.9,95,24.3,85,7,4.0,8.8,9.0,70.0,0.0
34,18,0,664,0.0,12.9,96,24.3,85,7,4.0,8.8,9.0,70.0,0.0
35,18,0,663,0.0,12.9,96,24.3,85,7,4.0,8.8,9.0,70.0,0.0
36,18,0,672,0.0,12.9,96,24.3,85,7,4.0,8.8,9.0,70.0,0.0
37,18,0,663,0.0,12.9,96,24.7,85,7,4.0,8.8,9.0,70.0,0.0
38,18,0,665,0.0,12.9,96,24.7,85,7,4.0,8.8,9.0,70.0,0.0
39,18,0,665,0.0,12.9,96,23.5,85,7,4.0,8.8,9.0,70.0,0.0
40,18,0,667,0.0,12.9,96,23.9,85,7,4.0,8.8,9.0,70.0,0.0
41,18,0,666,0.0,12.9,96,24.3,85,7,4.0,8.8,9.0,70.0,0.0
42,18,0,669,0.0,12.9,96,24.3,85,7,4.0,8.8,9.0,70.0,0.0
