time,"Altitude (GPS) (m)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Distance travelled (km)","Distance travelled (total) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Intake air temperature (℃)","OBD Module Voltage (V)","Speed (GPS) (km/h)","Throttle position (%)","Vehicle acceleration (m/s²)","Vehicle speed (km/h)",Latitude,Longtitude,
18:57:27.466,2491,,,,,,,,,,,,,,,,,-0.297922510653734,-78.4604822751135,
18:57:28.454,,,0.21445274874874,,,,,,,,,,,0.323999986052513,,,,-0.297916349954903,-78.4604827780277,
18:57:28.456,2489,,,,,,,,,,,,,,,,,-0.297916349954903,-78.4604827780277,
18:57:29.724,,,0.142800744639412,,,,,,,,,,,0,,,,-0.297916349954903,-78.4604827780277,
18:57:29.725,2485.5,,,,,,,,,,,,,,,,,-0.297916349954903,-78.4604827780277,
18:57:29.727,2485.5,,0.142695448879147,,,,,,,,,,,0,,,,-0.297916349954903,-78.4604827780277,
18:57:29.728,2485.5,,,,,,,,,,,,,,,,,-0.2980459,-78.4605884,
18:57:29.733,2485.5,,0.144071404379471,,,,,,,,,,,1.04391864538193,,,,-0.2980459,-78.4605884,
18:57:30.447,2489,,0.121341127225235,,,,,,,,,,,0,,,,-0.297920624725521,-78.4604871366173,
18:57:32.456,2488,,0.172561074721005,,,,,,,,,,,0.287999993562698,,,,-0.297923726029694,-78.4604894835502,
18:57:33.840,,,0.142400148153837,,,,,,,,,,,0,,,,-0.297923851758242,-78.4604892320931,
18:57:37.027,2488,,0.101544124617587,,,,,,,,,,,0,,,,-0.297923893667758,-78.4604893159121,
18:57:37.063,,,,,23.5294117647059,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:37.133,,,,,,,,,91,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:37.203,,,,,,,,,,585,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:37.276,,,,,,,,,,,,,,,,,0,-0.297923893667758,-78.4604893159121,
18:57:37.362,,,,,,,,,,,,,,,12.9411764705882,,,-0.297923893667758,-78.4604893159121,
18:57:37.434,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:37.449,2488,,0.0978264705512691,,,,,,,,,,,0,,,,-0.297923893667758,-78.4604893159121,
18:57:37.499,2485.5,,0.0974164287478278,,,,,,,,,,,0.00381606887094676,,,,-0.297923893667758,-78.4604893159121,
18:57:37.501,,,,,,,,,,,,,13.1,,,,,-0.297923893667758,-78.4604893159121,
18:57:37.549,,,,,23.921568627451,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:37.622,,,,,,,,,,597,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:37.694,,,,,,,,,,,,42,,,,,,-0.297923893667758,-78.4604893159121,
18:57:37.766,,,,,,,0,178.250297933611,,,,,,,,,0,-0.297923893667758,-78.4604893159121,
18:57:37.867,,,,,,,,,,,,,,,12.9411764705882,,,-0.297923893667758,-78.4604893159121,
18:57:37.951,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.013,,,,,,,,,,,,,13.4,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.048,,,,,23.921568627451,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.117,,,,,,,,,91,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.160,,,,,,,,,,612,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.195,,0,,,,,0,178.250297933611,,,,,,,,,0,-0.297923893667758,-78.4604893159121,
18:57:38.231,,,,,,,,,,,,,,,12.9411764705882,,,-0.297923893667758,-78.4604893159121,
18:57:38.276,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.330,,,,,,,,,,,,,13.1,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.359,,,,,23.921568627451,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.395,,,,,,,,,,606,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.441,,0,,,,,0,178.250297933611,,,,,,,,,0,-0.297923893667758,-78.4604893159121,
18:57:38.490,,,,,,,,,,,,,,,12.9411764705882,,,-0.297923893667758,-78.4604893159121,
18:57:38.538,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.592,,,,,,,,,,,,,13.1,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.619,,,,,24.3137254901961,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.653,,,,,,,,,91,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.694,,,,,,,,,,589,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.733,,0,,,,,0,178.250297933611,,,,,,,,0,0,-0.297923893667758,-78.4604893159121,
18:57:38.771,,,,,,,,,,,,,,,12.5490196078431,,,-0.297923893667758,-78.4604893159121,
18:57:38.817,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:38.874,,,,,,,,,,,,,13.4,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.078,,,,,24.3137254901961,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.114,,,,,,,,,,600,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.162,,0,,,,,0,178.250297933611,,,,,,,,0,0,-0.297923893667758,-78.4604893159121,
18:57:39.206,,,,,,,,,,,,,,,12.9411764705882,,,-0.297923893667758,-78.4604893159121,
18:57:39.243,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.308,,,,,,,,,,,,,13,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.315,,,,,24.3137254901961,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.350,,,,,,,,,91,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.385,,,,,,,,,,596,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.430,,0,,,,,0,178.250297933611,,,,,,,,0,0,-0.297923893667758,-78.4604893159121,
18:57:39.472,,,,,,,,,,,,,,,12.9411764705882,,,-0.297923893667758,-78.4604893159121,
18:57:39.518,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.577,,,,,,,,,,,,,13.3,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.600,,,,,24.3137254901961,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.634,,,,,,,,,,597,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.670,,0,,,,,0,178.250297933611,,,,,,,,0,0,-0.297923893667758,-78.4604893159121,
18:57:39.716,,,,,,,,,,,,,,,12.5490196078431,,,-0.297923893667758,-78.4604893159121,
18:57:39.752,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.800,,,,,,,,,,,,,13.1,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.822,,,,,23.921568627451,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.870,,,,,,,,,91,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.915,,,,,,,,,,622,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:39.953,,0,,,,,0,178.250297933611,,,,,,,,0,0,-0.297923893667758,-78.4604893159121,
18:57:39.991,,,,,,,,,,,,,,,12.5490196078431,,,-0.297923893667758,-78.4604893159121,
18:57:40.035,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.086,,,,,,,,,,,,,13,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.119,,,,,23.1372549019608,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.165,,,,,,,,,,591,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.211,,0,,,,,0,178.250297933611,,,,,,,,0,0,-0.297923893667758,-78.4604893159121,
18:57:40.248,,,,,,,,,,,,,,,12.5490196078431,,,-0.297923893667758,-78.4604893159121,
18:57:40.292,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.363,,,,,,,,,,,,,13.3,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.413,,,,,22.7450980392157,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.459,,,,,,,,,91,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.515,,,,,,,,,,593,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.563,,0,,,,,0,178.250297933611,,,,,,,,0,0,-0.297923893667758,-78.4604893159121,
18:57:40.606,,,,,,,,,,,,,,,12.5490196078431,,,-0.297923893667758,-78.4604893159121,
18:57:40.644,,,,75,,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.710,,,,,,,,,,,,,13,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.726,,,,,23.1372549019608,,,,,,,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.761,,,,,,,,,,591,0.6,,,,,,,-0.297923893667758,-78.4604893159121,
18:57:40.800,,0,,,,,0,178.250297933611,,,,,,,,0,0,-0.297923893667758,-78.4604893159121,
18:57:40.846,,,,,,,,,,,,,,,12.9411764705882,,,-0.297923893667758,-78.4604893159121,
